,Long,Short
2017-01-03,0.00033124355135802917,-0.0027220373261549026
2017-01-04,0.013273365899220447,-0.005597460181035752
2017-01-05,-0.0032687711136794805,0.0208893802872936
2017-01-06,0.00017187312270227072,0.0043136394038838285
2017-01-09,0.00040274462894269726,0.008658805100390899
2017-01-10,0.003112285299309947,0.010818255585601188
2017-01-11,0.005595992635740332,-0.002053813707074903
2017-01-12,0.0021022315888014065,0.0040407636376679655
2017-01-13,0.0015417104593574704,-0.0003807166588178812
2017-01-17,0.0007281357364289475,0.024014603763698284
2017-01-18,0.008731974308519252,-0.006935320671579282
2017-01-19,-0.0048287577801091495,0.008547989445236548
2017-01-20,0.0029778910044770067,-0.00116737240172321
2017-01-23,-0.0033050580059854283,0.006628201845177884
2017-01-24,0.010741487341601996,-0.011039348432667018
2017-01-25,-0.0002535425092368815,-0.004840476884776568
2017-01-26,0.0009989746933123378,-0.000736099890489883
2017-01-27,-0.0008978353714537479,0.006569543149735213
2017-01-30,-0.0035775745155104286,0.00012376831829792324
2017-01-31,-0.023189450209195106,0.001043147905546049
2017-02-01,-0.004363200840810577,0.0009839719301140914
2017-02-02,0.0026173128336505424,-0.0024737517056606984
2017-02-03,0.008129544434088875,-0.0024036380481558205
2017-02-06,-0.009301284164602453,0.0032394307359876694
2017-02-07,-0.004680533184741731,-0.0013240042456911238
2017-02-08,0.01165527831426949,-0.000477300329017738
2017-02-09,0.005507258408396565,-0.004902387057891022
2017-02-10,0.0021148891761097353,0.006575593321188655
2017-02-13,0.0028154912507964425,-0.0019310229005617741
2017-02-14,0.003273966936612993,-0.014475408827428548
2017-02-15,0.0049205350041102046,-0.0051264735132047325
2017-02-16,-0.007111049918350954,0.0054006649288954375
2017-02-17,0.0003631465592596417,-0.00432078397999196
2017-02-21,-0.0001820976565568566,-0.00557167584967404
2017-02-22,-0.005431266333030149,-0.0008025005993061885
2017-02-23,-0.004869084450502414,0.012017412483872636
2017-02-24,0.016374538072835444,-0.002169947152301821
2017-02-27,0.0030631406662927074,-0.005460054798520475
2017-02-28,0.003518261459263683,-0.0027389155079306617
2017-03-01,-0.0011043022336163389,0.0007461140973894831
2017-03-02,-0.00677896144769764,0.021368941951357502
2017-03-03,-0.0025141177966137907,-0.005162162745152099
2017-03-06,-0.002960048632309353,0.0016345785381528311
2017-03-07,-0.00472802273184052,0.0030449117931702573
2017-03-08,-0.005654202727798907,0.008442519853816088
2017-03-09,-0.0031484195258811632,0.0006435754250177395
2017-03-10,-0.0022306686754573367,-0.0032639154789921854
2017-03-13,0.001441046763050202,-0.0012523510924857151
2017-03-14,-0.006533411380256549,0.003966400325847064
2017-03-15,0.02059760516321014,-0.011514422348647612
2017-03-16,-0.00010207464945142242,0.010655785434934461
2017-03-17,-0.0069465242757471455,0.005929705825384546
2017-03-20,0.0012110009142357048,-0.002907427063722312
2017-03-21,-0.0253911677871812,0.018758051595874604
2017-03-22,0.010832739111047218,-0.001981306689313467
2017-03-23,0.001369124044578629,0.0010661554130486418
2017-03-24,-0.0023877796742886813,0.011809037146094891
2017-03-27,0.013927769423138314,-0.012525042628242278
2017-03-28,0.010021432882602044,-0.007134778290467847
2017-03-29,0.0057675744435949135,-0.0009786581412753348
2017-03-30,0.010551327143108613,-0.00647096803730447
2017-03-31,-0.0011554497131263885,0.0010547658755688083
2017-04-03,-0.008888165314172414,0.008493095419076812
2017-04-04,0.0013492975027525778,-0.003225238653823748
2017-04-05,-0.007841537053476223,0.013299794189158842
2017-04-06,0.00590734483149179,-0.008373312061635474
2017-04-07,-0.0012948286354418138,-0.003654887520165617
2017-04-10,-0.0005134160501360952,0.004534989312232796
2017-04-11,0.004617654967960771,-0.0017292519092994342
2017-04-12,-0.01615084663572187,0.016148546094108762
2017-04-13,-0.006910531895546246,0.0038373408389031694
2017-04-17,0.013733666354504969,-0.005269488436406356
2017-04-18,0.004553546872928971,0.0008600614208830404
2017-04-19,-0.005388180004077337,0.0023924414182487585
2017-04-20,0.008490090767561641,0.0006550879972681556
2017-04-21,-0.007541131071061013,0.001859027147597614
2017-04-24,-0.0006644410390254096,-0.0011399907842462031
2017-04-25,0.009794972489830512,-0.001446625245427613
2017-04-26,0.007394055306033642,0.00875462210036928
2017-04-27,-0.001230627935575246,0.0016682782173086607
2017-04-28,-0.008165635226272472,0.011086775236526658
2017-05-01,-0.0016235801024419572,-0.00305541775786452
2017-05-02,-0.008487715257989147,0.009141033636865026
2017-05-03,-0.0027337450714857827,-0.0028745121749319535
2017-05-04,-0.015980435903353563,-0.0040964843093839074
